municipality,municipality_code,population,population_source_date,population_confidence,total_staff,total_staff_source_date,total_staff_confidence,dx_department,dx_department_confidence,org_hierarchy,info_policy_department,bpr_department,dedicated_dx_org,dx_org_established,cio_advisor,dx_staff,dx_staff_confidence,dx_dedicated_staff,infra_staff,security_staff,bpr_staff,external_dx_staff,concurrent_post,dx_staff_per_10000_population,dx_staff_per_100_staff,dx_plan,dx_plan_date,dx_score,dx_score_adjusted,unconfirmed_items,dx_info_staff,dx_info_staff_source_date,dx_info_staff_confidence,dx_info_staff_per_10000_population,dx_info_staff_per_100_staff,info_policy_dept_staff,info_policy_dept_staff_confidence,dx_bpr_combined_staff,dx_bpr_combined_staff_confidence,dx_staff_fiscal_year,judgeable_points,unconfirmed_points,unconfirmed_rate,main_analysis_eligible,confirmed_zero_items,external_expert,dx_bpr_integrated,field_team_staff,field_team_fiscal_year,field_team_note
那覇市,47201,311916,2026-08-31,A,不明,不明,不明,企画財務部 企画調整課 DX推進室,C,課内室,企画財務部 情報政策課,不明,有（室）,令和4年4月（デジタル化推進室から改称）,要確認（DX推進室長が総務省地域情報化アドバイザーに登録との情報あり・確度C）,8,A,不明,不明,不明,不明,不明,不明,0.26,不明,策定済（確度C）,不明,65.5,74.4,3,不明,不明,不明,不明,不明,23,A,不明,不明,2026年度（2026-04-01）,88,12,12.0,該当,1,有,該当（DX推進室が業務改革を所掌）,不明,不明,不明
宜野湾市,47205,不明,不明,不明,不明,不明,不明,企画部 デジタル推進課,C,課,企画部 デジタル推進課（同一）,不明,有（課）,不明,不明,4,A,不明,6,不明,4,不明,不明,不明,不明,策定済（基本計画・実施計画の二部構成・確度C）,不明,59,79.7,6,不明,不明,不明,不明,不明,不明,不明,不明,不明,2025年度（2025-04-01）,74,26,26.0,該当,0,有,非該当（デジタル推進課と行政経営室が別組織）,不明,不明,不明
石垣市,47207,不明,不明,不明,不明,不明,不明,企画部 DX推進課（DX係）,C,課＞係,不明,不明,有（課）,令和4年4月時点で「企画部DX課」として存在,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,石垣市デジタル化推進計画（令和4年4月）（確度C）,令和4年4月,22.5,45.0,11,5,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,50,50,50.0,除外（未確認率30%超）,4,有（3人）,不明,不明,不明,不明
浦添市,47208,不明,不明,不明,不明,不明,不明,企画部 情報政策課／行政改革推進課,C,課,企画部 情報政策課,行政改革推進課,要確認（デジタルシティ推進室の改組に関する情報は未検証）,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,浦添市DX推進計画 基本構想（令和7年4月1日）（確度C）,令和7年4月,46,67.6,7,不明,不明,不明,不明,不明,10,A,5,A,2026年度（2026-04-01）,68,32,32.0,除外（未確認率30%超）,2,有,該当（行政改革推進課＝行革＋デジタルを統合）,不明,不明,不明
名護市,47209,不明,不明,不明,不明,不明,不明,総務部 業務改善推進室（庁内DX推進）,C,室,企画部 情報政策課（情報政策係・統計係）,総務部 業務改善推進室,有（室・業務改善と一体）,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,名護市DX推進計画（令和5年3月）（確度C）,令和5年3月,30,43.5,7,14,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,69,31,31.0,除外（未確認率30%超）,5,無（2024年度時点）,非該当（業務改善推進室とDX/情報システムが別組織）,不明,不明,不明
糸満市,47210,不明,不明,不明,不明,不明,不明,企画部 情報政策課（ＩＴ推進係・システム管理係）,C,課＞係,企画部 情報政策課（同一）,不明,無（情報政策課が兼務）,該当なし,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,糸満市DX推進方針（確度C）,不明,24,44.4,10,6,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,54,46,46.0,除外（未確認率30%超）,5,無（2024年度時点）,不明,2,2026年度,前年度3人。ユーザー提供の庁内実態。公開一次資料未確認。総務省広義人員（2024年度6人）とは定義が異なる
沖縄市,47211,不明,不明,不明,不明,不明,不明,DX戦略室 DX推進課,C,室＞課,情報システム課,不明,有（室＋課）,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,沖縄市DX推進計画（2022〜2026年度）（確度C）,2022年度,28,44.4,8,13,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,63,37,37.0,除外（未確認率30%超）,4,無（2024年度時点）,不明,不明,不明,不明
豊見城市,47212,不明,不明,不明,不明,不明,不明,総務企画部 デジタル推進課,C,課,総務企画部 デジタル推進課（同一）,不明,有（課）,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,豊見城市デジタルファースト宣言（計画の有無は要確認）（確度C）,不明,24,44.4,10,8,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,54,46,46.0,除外（未確認率30%超）,4,無（2024年度時点）,不明,不明,不明,不明
うるま市,47213,不明,不明,不明,不明,不明,不明,DX推進課,C,課,DX推進課（同一・電子計算業務を所掌）,事務事業イノベーション推進室,有（課）＋業務改善別組織,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,地域情報化計画／DX推進本部設置要綱（確度C）,不明,36.5,61.9,9,10,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,59,41,41.0,除外（未確認率30%超）,2,無（2024年度時点）,非該当（DX推進課と事務事業イノベーション推進室が別組織）,不明,不明,不明
宮古島市,47214,不明,不明,不明,不明,不明,不明,企画政策部 情報政策課,C,課,企画政策部 情報政策課（同一）,不明,無（情報政策課が兼務）,該当なし,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,市デジタル化推進本部（令和3年6月設置・情報政策課が事務局）（確度C）,不明,16.5,37.5,12,8,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,44,56,56.0,除外（未確認率30%超）,3,有,不明,不明,不明,不明
