municipality,municipality_code,population,population_source_date,population_confidence,total_staff,total_staff_source_date,total_staff_confidence,dx_department,dx_department_confidence,org_hierarchy,info_policy_department,bpr_department,dedicated_dx_org,dx_org_established,cio_advisor,dx_staff,dx_staff_confidence,dx_dedicated_staff,infra_staff,security_staff,bpr_staff,external_dx_staff,concurrent_post,dx_staff_per_10000_population,dx_staff_per_100_staff,dx_plan,dx_plan_date,dx_score,dx_score_adjusted,unconfirmed_items,dx_info_staff,dx_info_staff_source_date,dx_info_staff_confidence,dx_info_staff_per_10000_population,dx_info_staff_per_100_staff,info_policy_dept_staff,info_policy_dept_staff_confidence,dx_bpr_combined_staff,dx_bpr_combined_staff_confidence,dx_staff_fiscal_year,judgeable_points,unconfirmed_points,unconfirmed_rate,main_analysis_eligible
那覇市,47201,311916,2026-08-31,A,不明,不明,不明,企画財務部 企画調整課 DX推進室,C,課内室,企画財務部 情報政策課,不明,有（室）,令和4年4月（デジタル化推進室から改称）,要確認（DX推進室長が総務省地域情報化アドバイザーに登録との情報あり・確度C）,8,A,不明,不明,不明,不明,不明,不明,0.26,不明,策定済（確度C）,不明,14.5,72.5,17,不明,不明,不明,不明,不明,23,A,不明,不明,2026年度（2026-04-01）,20,80,80.0,除外（未確認率30%超）
宜野湾市,47205,不明,不明,不明,不明,不明,不明,企画部 デジタル推進課,C,課,企画部 デジタル推進課（同一）,不明,有（課）,不明,不明,4,A,不明,6,不明,4,不明,不明,不明,不明,策定済（基本計画・実施計画の二部構成・確度C）,不明,11,100.0,19,不明,不明,不明,不明,不明,不明,不明,不明,不明,2025年度（2025-04-01）,11,89,89.0,除外（未確認率30%超）
石垣市,47207,不明,不明,不明,不明,不明,不明,企画部 DX推進課（DX係）,C,課＞係,不明,不明,有（課）,令和4年4月時点で「企画部DX課」として存在,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,石垣市デジタル化推進計画（令和4年4月）（確度C）,令和4年4月,11,100.0,19,5,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,11,89,89.0,除外（未確認率30%超）
浦添市,47208,不明,不明,不明,不明,不明,不明,企画部 情報政策課／行政改革推進課,C,課,企画部 情報政策課,行政改革推進課,要確認（デジタルシティ推進室の改組に関する情報は未検証）,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,浦添市DX推進計画 基本構想（令和7年4月1日）（確度C）,令和7年4月,5,100.0,20,不明,不明,不明,不明,不明,10,A,5,A,2026年度（2026-04-01）,5,95,95.0,除外（未確認率30%超）
名護市,47209,不明,不明,不明,不明,不明,不明,総務部 業務改善推進室（庁内DX推進）,C,室,企画部 情報政策課（情報政策係・統計係）,総務部 業務改善推進室,有（室・業務改善と一体）,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,名護市DX推進計画（令和5年3月）（確度C）,令和5年3月,5,100.0,20,14,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,5,95,95.0,除外（未確認率30%超）
糸満市,47210,不明,不明,不明,不明,不明,不明,企画部 情報政策課（ＩＴ推進係・システム管理係）,C,課＞係,企画部 情報政策課（同一）,不明,無（情報政策課が兼務）,該当なし,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,糸満市DX推進方針（確度C）,不明,6,100.0,20,6,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,6,94,94.0,除外（未確認率30%超）
沖縄市,47211,不明,不明,不明,不明,不明,不明,DX戦略室 DX推進課,C,室＞課,情報システム課,不明,有（室＋課）,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,沖縄市DX推進計画（2022〜2026年度）（確度C）,2022年度,0,算出不能,21,13,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,0,100,100.0,除外（未確認率30%超）
豊見城市,47212,不明,不明,不明,不明,不明,不明,総務企画部 デジタル推進課,C,課,総務企画部 デジタル推進課（同一）,不明,有（課）,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,豊見城市デジタルファースト宣言（計画の有無は要確認）（確度C）,不明,0,算出不能,21,8,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,0,100,100.0,除外（未確認率30%超）
うるま市,47213,不明,不明,不明,不明,不明,不明,DX推進課,C,課,DX推進課（同一・電子計算業務を所掌）,事務事業イノベーション推進室,有（課）＋業務改善別組織,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,地域情報化計画／DX推進本部設置要綱（確度C）,不明,10,100.0,19,10,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,10,90,90.0,除外（未確認率30%超）
宮古島市,47214,不明,不明,不明,不明,不明,不明,企画政策部 情報政策課,C,課,企画政策部 情報政策課（同一）,不明,無（情報政策課が兼務）,該当なし,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,市デジタル化推進本部（令和3年6月設置・情報政策課が事務局）（確度C）,不明,0,算出不能,21,8,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,0,100,100.0,除外（未確認率30%超）
南城市,47215,不明,不明,不明,不明,不明,不明,企画部 DX推進課,C,課,不明,不明,有（課）,令和4年4月新設,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,不明,南城市DX推進計画（確度C）,不明,0,算出不能,21,6,2024-04-01,A,不明,不明,不明,不明,不明,不明,不明,0,100,100.0,除外（未確認率30%超）
